Abstract,Author,Document Title,PDF Link,Year
"using a cell dynamic system (cds) simulation scheme, we investigate the.phase-ordering dynamics of non-conserved o(n) models without topological.defects, i.e. for $n > d+1$ where $d$ is the spatial dimensionality. in.particular, we consider zero-temperature quenches for $d=2$, $n=4,5$, and for.$d=1$, $n=3,4,5$. we find, in agreement with previous simulations using.fixed-length spins, that dynamical scaling is obtained, with characteristic.length $l(t) = t^{1/2}$. we show that the asymptotic behaviour of the.structure-factor scaling function $g(q)$ is well fitted by the stretched.exponential form $g(q)\sim \exp(-bq^\delta)$, with an exponent $\delta$ that.appears to depend on both n and d. an analytical treatment of an approximate.large-n equation for the pair correlation function yields $g(q) \sim.q^{-(d-1)/2}\exp(-bq)$, with $b \sim (\ln n)^{1/2}$ for large $n$, in agreement.with recent simulations of the same equation.","['f. rojas', 'a. j. bray']",structure-factor tail for the ordering kinetics of nonconserved fields.  without topological defects,http://arxiv.org/abs/cond-mat/9601076v1,1996
"we study a non-anticommutative chiral non-singlet deformation of the n=(1,1).abelian gauge multiplet in euclidean harmonic superspace with a product ansatz.for the deformation matrix, c^{(\alpha\beta)}_{(ik)} =.c^{(\alpha\beta)}b_{(ik)}. this allows us to obtain in closed form the gauge.transformations and the unbroken n=(1,0) supersymmetry transformations.preserving the wess-zumino gauge, as well as the bosonic sector of the n=(1,0).invariant action. as in the case of a singlet deformation, the bosonic action.can be cast in a form where it differs from the free action merely by a scalar.factor. the latter is now given by \cosh^2 (2\bar\phi\sqrt{c^2 b^2}}), with.\bar\phi being one of two scalar fields of the n=(1,1) vector multiplet. we.compare our results with previous studies of non-singlet deformations,.including the degenerate case b^2=0 which preserves the n=(1,1/2) fraction of.n=(1,1) supersymmetry.","['a. de castro', 'e. ivanov', 'o. lechtenfeld', 'l. quevedo']","non-singlet q-deformation of the n=(1,1) gauge multiplet in harmonic.  superspace",http://arxiv.org/abs/hep-th/0510013v2,2006
single spin asymmetry in inclusive $\pi^0$-production was measured in the.polarized target fragmentation region using 50 gev proton beam. the asymmetry.is in agreement with asymmetry measurements in the polarized beam fragmentation.region carried out at higher energies. the measurement completed 30-years.history of polarized measurements at the proza setup.,"['v. v. mochalov', 'a. n. vasiliev', 'n. a. bazhanov', 'n. i. belikov', 'a. a. belyaev', 'n. s. borisov', 'a. m. davidenko', 'a. a. derevschikov', 'v. n. grishin', 'a. b. lazarev', 'a. a. lukhanin', 'yu. a. matulenko', 'yu. m. melnik', 'a. p. meschanin', 'n. g. minaev', 'd. a. morozov', 'a. b. neganov', 'l. v. nogach', 's. b. nurushev', 'yu. a. plis', 'a. f. prudkoglyad', 'p. a. semenov', 'l. f. soloviev', 'o. n. shchevelev', 'yu. a. usov', 'a. e. yakutin']",the completion of single-spin asymmetry measurements at the proza setup,http://arxiv.org/abs/0912.5059v1,2009
"let $\lambda$ denote the liouville function. we show that as $x \rightarrow.\infty$, $$ \int_{x}^{2x} \sup_{\alpha} \left | \sum_{x < n \leq x + h}.\lambda(n) e(-\alpha n) \right | dx = o ( x h) $$ for all $h \geq x^{\theta}$.with $\theta > 0$ fixed but arbitrarily small. previously, this was only known.for $\theta > 5/8$. for smaller values of $\theta$ this is the first.`non-trivial' case of local fourier uniformity on average at this scale. we.also obtain the analogous statement for (non-pretentious) $1$-bounded.multiplicative functions. we illustrate the strength of the result by obtaining.cancellations in the sum of $\lambda(n) \lambda(n + h) \lambda(n + 2h)$ over.the ranges $h < x^{\theta}$ and $n < x$, and where $\lambda$ is the von.mangoldt function.","['kaisa matomäki', 'maksym radziwiłł', 'terence tao']",fourier uniformity of bounded multiplicative functions in short.  intervals on average,http://arxiv.org/abs/1812.01224v1,2018
"recently-generated long strong-coupling series for the two-point green's.functions of asymptotically free ${\rm o}(n)$ lattice $\sigma$ models are.analyzed, focusing on the evaluation of dimensionless renormalization-group.invariant ratios of physical quantities and applying resummation techniques to.series in the inverse temperature $\beta$ and in the energy $e$. square,.triangular, and honeycomb lattices are considered, as a test of universality.and in order to estimate systematic errors. large-$n$ solutions are carefully.studied in order to establish benchmarks for series coefficients and.resummations. scaling and universality are verified. all invariant ratios.related to the large-distance properties of the two-point functions vary.monotonically with $n$, departing from their large-$n$ values only by a few per.mille even down to $n=3$.","['massimo campostrini', 'andrea pelissetto', 'paolo rossi', 'ettore vicari']","a strong-coupling analysis of two-dimensional o(n) sigma models with.  $n\geq 3$ on square, triangular and honeycomb lattices",http://arxiv.org/abs/hep-lat/9602011v1,1996
"proceeding from a nonlinear realization of the most general n=4, d=1.superconformal symmetry, associated with the supergroup d(2,1;alpha), we.construct a new model of nonrelativistic n=4 superconformal mechanics. in the.bosonic sector it combines the worldline dilaton with the fields parametrizing.the r-symmetry coset s^2 ~ su(2)/u(1). we present invariant off-shell n=4 and.n=2 superfield actions for this system and show the existence of an independent.n=4 superconformal invariant which extends the dilaton potential. the extended.supersymmetry requires this potential to be accompanied by a d=1 wzw term on.s^2. we study the classical dynamics of the bosonic action and the geometry of.its sigma-model part. it turns out that the relevant target space is a cone.over s^2 for any non-zero alpha \neq \pm 1/2. the constructed model is expected.to be related to the `relativistic' n=4 mechanics of the ads_2 times s^2.superparticle via a nonlinear transformation of the fields and the time.variable.","['e. ivanov', 's. krivonos', 'o. lechtenfeld']",new variant of n=4 superconformal mechanics,http://arxiv.org/abs/hep-th/0212303v1,2002
"while dehn functions, d(n), of finitely presented groups are very well.studied in the literature, mean dehn functions are much less considered. m..gromov introduced the notion of mean dehn function of a group, $d_{mean}(n)$,.suggesting that in many cases it should grow much more slowly than the dehn.function itself. using only elementary counting methods, this paper presents.some computations pointing into this direction. particularizing them to the.case of any finite presentation of a finitely generated abelian group (for.which it is well known that $d(n)\sim n^2$ except in the 1-dimensional case),.we show that the three variations $d_{osmean}(n)$, $d_{smean}(n)$ and.$d_{mean}(n)$ all are bounded above by $kn(\ln n)^2$, where the constant $k$.depends only on the presentation (and the geodesic combing) chosen. this.improves an earlier bound given by kukina and roman'kov.","['o. bogopolski', 'e. ventura']",the mean dehn function of abelian groups,http://arxiv.org/abs/math/0606273v1,2006
"we investigate both analytically and numerically the renormalization group.equations in 2d z(n) vector models. the position of the critical points of the.two phase transitions for n>4 is established and the critical index \nu\ is.computed. for n=7, 17 the critical points are located by monte carlo.simulations and some of the corresponding critical indices are determined. the.behavior of the helicity modulus is studied for n=5, 7, 17. using these and.other available monte carlo data we discuss the scaling of the critical points.with n and some other open theoretical problems.","['o. borisenko', 'v. chelnokov', 'g. cortese', 'r. fiore', 'm. gravina', 'a. papa']",the phase transitions in 2d z(n) vector models for n>4,http://arxiv.org/abs/1112.3604v2,2012
"we develop a theory of nonlinear response to an electric field of.two-dimensional (2d) fermions with topologically non-trivial wave functions.characterized by the berry phase $\phi_n = n \pi, n = 1,2,...$. in particular,.we find that owing to suppression of backscattering at odd $n$, hall.field-induced resistance oscillations, which stem from elastic electron.transitions between hall field-tilted landau levels, are qualitatively distinct.from those at even $n$: their amplitude decays with the electric field and.their extrema are phase-shifted by a quarter cycle. the theory unifies the.cases of graphene ($n = 1$) and graphite bilayer ($n = 2$) with the case of.conventional 2d electron gas ($n = 0$) and suggests a new method to probe.backscattering in topological 2d systems.","['o. e. raichev', 'm. a. zudov']",effect of berry phase on nonlinear response of two-dimensional fermions,http://arxiv.org/abs/2002.03972v1,2020
"for every positive integer n and every $\alpha\in [0,1)$, let $b(n, \alpha)$.denote the probabilistic model in which a random set $a\subset \{1,\dots,n\}$.is constructed by choosing independently every element of $\{1,\dots,n\}$ with.probability $\alpha$. we prove that, as $n\longrightarrow +\infty$, for every.$a$ in $b(n, \alpha)$ we have $|aa|\ \sim |a|^2/2$ with probability $1-o(1)$,.if and only if $$\frac{\log(\alpha^2(\log n)^{\log 4-1})}{\sqrt{\log\log.n}}\longrightarrow-\infty.$$ this improves a theorem of cilleruelo, ramana and.ramar\'e, who proved the above asymptotic between $|aa|$ and $|a|^2/2$ when.$\alpha=o(1/\sqrt{\log n})$, and supplies a complete characterization of.maximal product sets of random sets.",['daniele mastrostefano'],on maximal product sets of random sets,http://arxiv.org/abs/2005.04663v2,2020
"converting a compressed format of a string into another compressed format.without an explicit decompression is one of the central research topics in.string processing. we discuss the problem of converting the run-length.burrows-wheeler transform (rlbwt) of a string to lempel-ziv 77 (lz77) phrases.of the reversed string. the first results with policriti and prezza's.conversion algorithm [algorithmica 2018] were $o(n \log r)$ time and $o(r)$.working space for length of the string $n$, number of runs $r$ in the rlbwt,.and number of lz77 phrases $z$. recent results with kempa's conversion.algorithm [soda 2019] are $o(n / \log n + r \log^{9} n + z \log^{9} n)$ time.and $o(n / \log_{\sigma} n + r \log^{8} n)$ working space for the alphabet size.$\sigma$ of the rlbwt. in this paper, we present a new conversion algorithm by.improving policriti and prezza's conversion algorithm where dynamic data.structures for general purpose are used. we argue that these dynamic data.structures can be replaced and present new data structures for faster.conversion. the time and working space of our conversion algorithm with new.data structures are $o(n \min \{ \log \log n, \sqrt{\frac{\log r}{\log\log r}}.\})$ and $o(r)$, respectively.","['takaaki nishimoto', 'yasuo tabei']",conversion from rlbwt to lz77,http://arxiv.org/abs/1902.05224v1,2019
"fuv echelle spectroscopy of the radio-quiet qso h1821+643 (z = 0.297),.obtained with the space telescope imaging spectrograph (stis) at 7 km/s.resolution, reveals 4 definite o vi absorption line systems and one probable o.vi absorber at 0.15 < z(abs) < 0.27. the four definite o vi absorbers are.located near galaxies and are highly displaced from the quasar in redshift;.these are likely intervening systems unrelated to the background qso. in the.case of the strong o vi system at z(abs) = 0.22497, multiple components are.detected in si iii and o vi as well as h i lyman series lines, and the.differing component velocity centroids and b-values firmly establish that this.is a multiphase absorption system. a weak o vi absorber is detected at z(abs) =.0.22637, i.e., offset by ~340 km/s from the z(abs) = 0.22497 system. lya.absorption is detected at z(abs) = 0.22613, but no lya absorption is.significantly detected at 0.22637. other weak o vi absorbers at z(abs) =.0.24531 and 0.26659 and the probable o vi system at 0.21326 have widely diverse.o vi/h i column density ratios with n(o vi)/n(h i) ranging from <=0.14+/-0.03.to 5.2+/-1.2. the number density of o vi absorbers with rest equivalent width >.30 ma in the h1821+643 spectrum is remarkably high, dn/dz ~48, with a high.(90%) confidence that it is greater than 17. we conservatively estimate that.the cosmological mass density of the o vi systems omega_b(o vi) > 0.0008/h_75..with an assumed metallicity of 1/10 solar and a conservative assumption that.the fraction of oxygen in the o vi ionization stage is 0.2, we obtain omega_b(o.vi) > 0.004/h_75. this is comparable to the combined cosmological mass density.of stars and cool gas in galaxies and x-ray emitting gas in galaxy clusters at.low redshift.","['t. m. tripp', 'b. d. savage', 'e. b. jenkins']",intervening o vi quasar absorption systems at low redshift: a.  significant baryon reservoir,http://arxiv.org/abs/astro-ph/0003277v1,2000
"the compact directed acyclic word graph (cdawg) of a string $t$ of length $n$.takes space proportional just to the number $e$ of right extensions of the.maximal repeats of $t$, and it is thus an appealing index for highly repetitive.datasets, like collections of genomes from similar species, in which $e$ grows.significantly more slowly than $n$. we reduce from $o(m\log{\log{n}})$ to.$o(m)$ the time needed to count the number of occurrences of a pattern of.length $m$, using an existing data structure that takes an amount of space.proportional to the size of the cdawg. this implies a reduction from.$o(m\log{\log{n}}+\mathtt{occ})$ to $o(m+\mathtt{occ})$ in the time needed to.locate all the $\mathtt{occ}$ occurrences of the pattern. we also reduce from.$o(k\log{\log{n}})$ to $o(k)$ the time needed to read the $k$ characters of the.label of an edge of the suffix tree of $t$, and we reduce from.$o(m\log{\log{n}})$ to $o(m)$ the time needed to compute the matching.statistics between a query of length $m$ and $t$, using an existing.representation of the suffix tree based on the cdawg. all such improvements.derive from extracting the label of a vertex or of an arc of the cdawg using a.straight-line program induced by the reversed cdawg.","['djamal belazzougui', 'fabio cunial']",fast label extraction in the cdawg,http://arxiv.org/abs/1707.08197v2,2017
"in this paper we classify the complex elliptic curves $e$ for which there.exist cyclic subgroups $c\leq (e,+)$ of order $n$ such that the elliptic curves.$e$ and $e/c$ are isomorphic, where $n$ is a positive integer. important.examples are provided in the last section. moreover, we answer the following.question: given a complex elliptic curve e, when can one find a cyclic subgroup.$c$ of order $n$ of $(e,+)$ such that $(e,c)\sim(\frac{e}{c},\frac{e[n]}{c})$,.$e[n]$ being the $n$-torsion subgroup of $e$, classifying in this way the fixed.points of the action of the fricke involution on the open modular curves.$y_0(n)$","['bogdan canepa', 'radu gaba']",on some special classes of complex elliptic curves,http://arxiv.org/abs/1111.1073v1,2011
"we prove a general lower bound of quantum decision tree complexity in terms.of some entropy notion. we regard the computation as a communication process in.which the oracle and the computer exchange several rounds of messages, each.round consisting of o(log(n)) bits. let e(f) be the shannon entropy of the.random variable f(x), where x is uniformly random in f's domain. our main.result is that it takes \omega(e(f)) queries to compute any \emph{total}.function f. it is interesting to contrast this bound with the.\omega(e(f)/log(n)) bound, which is tight for \emph{partial} functions. our.approach is the polynomial method.",['yaoyun shi'],entropy lower bounds of quantum decision tree complexity,http://arxiv.org/abs/quant-ph/0008095v3,2000
"the products of the electron width of the j/\psi meson and the branching.fraction of its decays to the lepton pairs were measured using data from the.kedr experiment at the vepp-4m electron-positron collider. the results are.  \gamma_{ee}(j/\psi)*br(j/\psi->e^+e^-)=(0.3323\pm0.0064\pm0.0048) kev,.  \gamma_{ee}(j/\psi)*br(j/\psi->\mu^+\mu^-)=(0.3318\pm0.0052\pm0.0063) kev..  their combinations.  \gamma_{ee}\times(\gamma_{ee}+\gamma_{\mu\mu})/\gamma=(0.6641\pm0.0082\pm0.0100).kev,.  \gamma_{ee}/\gamma_{\mu\mu}=1.002\pm0.021\pm0.013 can be used to improve.theaccuracy of the leptonic and full widths and test leptonic universality..assuming e\mu universality and using the world average value of the lepton.branching fraction, we also determine the leptonic \gamma_{ll}=5.59\pm0.12 kev.and total \gamma=94.1\pm2.7 kev widths of the j/\psi meson.","[' kedr collaboration', 'v. v. anashin', 'v. m. aulchenko', 'e. m. baldin', 'a. k. barladyan', 'a. yu. barnyakov', 'm. yu. barnyakov', 's. e. baru', 'i. v. bedny', 'o. l. beloborodova', 'a. e. blinov', 'v. e. blinov', 'a. v. bobrov', 'v. s. bobrovnikov', 'a. v. bogomyagkov', 'a. e. bondar', 'd. v. bondarev', 'a. r. buzykaev', 's. i. eidelman', 'yu. m. glukhovchenko', 'v. v. gulevich', 'd. v. gusev', 's. e. karnaev', 'g. v. karpov', 's. v. karpov', 't. a. kharlamova', 'v. a. kiselev', 's. a. kononov', 'k. yu. kotov', 'e. a. kravchenko', 'v. f. kulikov', 'g. ya. kurkin', 'e. a. kuper', 'e. b. levichev', 'd. a. maksimov', 'v. m. malyshev', 'a. l. maslennikov', 'a. s. medvedko', 'o. i. meshkov', 's. i. mishnev', 'i. i. morozov', 'n. yu. muchnoi', 'v. v. neufeld', 's. a. nikitin', 'i. b. nikolaev', 'i. n. okunev', 'a. p. onuchin', 's. b. oreshkin', 'i. o. orlov', 'a. a. osipov', 's. v. peleganchuk', 's. g. pivovarov', 'p. a. piminov', 'v. v. petrov', 'a. o. poluektov', 'i. n. popkov', 'v. g. prisekin', 'a. a. ruban', 'v. k. sandyrev', 'g. a. savinov', 'a. g. shamov', 'd. n. shatilov', 'b. a. shwartz', 'e. a. simonov', 's. v. sinyatkin', 'yu. i. skovpen', 'a. n. skrinsky', 'v. v. smaluk', 'a. v. sokolov', 'a. m. sukharev', 'e. v. starostina', 'a. a. talyshev', 'v. a. tayursky', 'v. i. telnov', 'yu. a. tikhonov', 'k. yu. todyshev', 'g. m. tumaikin', 'yu. v. usov', 'a. i. vorobiov', 'a. n. yushkov', 'v. n. zhilich', 'v. v. zhulanov', 'a. n. zhuravlev']",measurement of γ_{ee}(j/ψ)*br(j/ψ->e^+e^-) and.  γ_{ee}(j/ψ)*br(j/ψ->μ^+μ^-),http://arxiv.org/abs/0912.1082v2,2010
"we present a study of the inclusive photon spectra from 5.9 million j/psi.decays collected with the kedr detector at the vepp-4m e+e- collider. we.measure the branching fraction of radiative decay j/psi to eta_c gamma, eta_c.width and mass. our preliminary results are: m(eta_c) = 2979.4+-1.5+-1.9 mev,.g(eta_c) = 27.8+-5.1+-3.3 mev, b(j/psi to eta_c gamma) = (2.34+-0.15+-0.40)%.","['v. v. anashin', 'v. m. aulchenko', 'e. m. baldin', 'a. k. barladyan', 'a. yu. barnyakov', 'm. yu. barnyakov', 's. e. baru', 'i. v. bedny', 'o. l. beloborodova', 'a. e. blinov', 'v. e. blinov', 'a. v. bobrov', 'v. s. bobrovnikov', 'a. v. bogomyagkov', 'a. e. bondar', 'a. r. buzykaev', 's. i. eidelman', 'yu. m. glukhovchenko', 'v. v. gulevich', 'd. v. gusev', 's. e. karnaev', 'g. v. karpov', 's. v. karpov', 't. a. kharlamova', 'v. a. kiselev', 's. a. kononov', 'k. yu. kotov', 'e. a. kravchenko', 'v. f. kulikov', 'g. ya. kurkin', 'e. a. kuper', 'e. b. levichev', 'd. a. maksimov', 'v. m. malyshev', 'a. l. maslennikov', 'a. s. medvedko', 'o. i. meshkov', 'a. i. milstein', 's. i. mishnev', 'i. i. morozov', 'n. yu. muchnoi', 'v. v. neufeld', 's. a. nikitin', 'i. b. nikolaev', 'i. n. okunev', 'a. p. onuchin', 's. b. oreshkin', 'i. o. orlov', 'a. a. osipov', 's. v. peleganchuk', 's. g. pivovarov', 'p. a. piminov', 'v. v. petrov', 'a. o. poluektov', 'i. n. popkov', 'g. e. pospelov', 'v. g. prisekin', 'a. a. ruban', 'v. k. sandyrev', 'g. a. savinov', 'a. g. shamov', 'd. n. shatilov', 'b. a. shwartz', 'e. a. simonov', 's. v. sinyatkin', 'yu. i. skovpen', 'a. n. skrinsky', 'v. v. smaluk', 'a. m. sukharev', 'e. v. starostina', 'a. a. talyshev', 'v. a. tayursky', 'v. i. telnov', 'yu. a. tikhonov', 'k. yu. todyshev', 'g. m. tumaikin', 'yu. v. usov', 'a. i. vorobiov', 'a. n. yushkov', 'v. n. zhilich', 'v. v. zhulanov', 'a. n. zhuravlev']",measurement of j/psi to eta_c gamma at kedr,http://arxiv.org/abs/1002.2071v2,2010
"we use the conformal bootstrap approach to explore $5d$ cfts with $o(n)$.global symmetry, which contain $n$ scalars $\phi_i$ transforming as $o(n)$.vector. specifically, we study multiple four-point correlators of the leading.$o(n)$ vector $\phi_i$ and the $o(n)$ singlet $\sigma$. the crossing symmetry.of the four-point functions and the unitarity condition provide nontrivial.constraints on the scaling dimensions ($\delta_\phi$, $\delta_\sigma$) of.$\phi_i$ and $\sigma$. with reasonable assumptions on the gaps between scaling.dimensions of $\phi_i$ ($\sigma$) and the next $o(n)$ vector (singlet) scalar,.we are able to isolate the scaling dimensions $(\delta_\phi$, $\delta_\sigma)$.in small islands. in particular, for large $n=500$, the isolated region is.highly consistent with the result obtained from large $n$ expansion..  we also study the interacting $o(n)$ cfts for $1\leqslant n\leqslant100$..isolated regions on $(\delta_\phi,\delta_\sigma)$ plane are obtained using.conformal bootstrap program with lower order of derivatives $\lambda$; however,.they disappear after increasing $\lambda$. we think these islands are.corresponding to interacting but nonunitary $o(n)$ cfts. our results provide a.lower bound on the critical value $n_c>100$, below which the interacting $o(n)$.cfts turn into nonunitary. the critical value is unexpectedly large comparing.with previous estimations.","['zhijin li', 'ning su']",bootstrapping mixed correlators in the five dimensional critical o(n).  models,http://arxiv.org/abs/1607.07077v1,2016
"in this paper we study the four-dimensional dominance range reporting problem.and present data structures with linear or almost-linear space usage. our.results can be also used to answer four-dimensional queries that are bounded on.five sides. the first data structure presented in this paper uses linear space.and answers queries in $o(\log^{1+\varepsilon}n + k\log^{\varepsilon} n)$ time,.where $k$ is the number of reported points, $n$ is the number of points in the.data structure, and $\varepsilon$ is an arbitrarily small positive constant..our second data structure uses $o(n \log^{\varepsilon} n)$ space and answers.queries in $o(\log n+k)$ time..  these are the first data structures for this problem that use linear (resp..$o(n\log^{\varepsilon} n)$) space and answer queries in poly-logarithmic time..for comparison the fastest previously known linear-space or.$o(n\log^{\varepsilon} n)$-space data structure supports queries in.$o(n^{\varepsilon} + k)$ time (bentley and mauer, 1980). our results can be.generalized to $d\ge 4$ dimensions. for example, we can answer $d$-dimensional.dominance range reporting queries in $o(\log\log n (\log n/\log\log n)^{d-3} +.k)$ time using $o(n\log^{d-4+\varepsilon}n)$ space. compared to the fastest.previously known result (chan, 2013), our data structure reduces the space.usage by $o(\log n)$ without increasing the query time.",['yakov nekrich'],four-dimensional dominance range reporting in linear space,http://arxiv.org/abs/2003.06742v1,2020
"we consider the problem of computing the diameter of a unicycle graph (i.e.,.a graph with a unique cycle). we present an o(n) time algorithm for the.problem, where n is the number of vertices of the graph. this improves the.previous best o(n \log n) time solution [oh and ahn, isaac 2016]. using this.algorithm as a subroutine, we solve the problem of adding a shortcut to a tree.so that the diameter of the new graph (which is a unicycle graph) is minimized;.our algorithm takes o(n^2 \log n) time and o(n) space. the previous best.algorithms solve the problem in o(n^2 \log^3 n) time and o(n) space [oh and.ahn, isaac 2016], or in o(n^2) time and o(n^2) space [bil\`o, isaac 2018].","['haitao wang', 'yiming zhao']",algorithms for diameters of unicycle graphs and diameter-optimally.  augmenting trees,http://arxiv.org/abs/2011.09591v1,2020
"we revisit a classical graph-theoretic problem, the \textit{single-source.shortest-path} (sssp) problem, in weighted unit-disk graphs. we first propose.an exact (and deterministic) algorithm which solves the problem in $o(n \log^2.n)$ time using linear space, where $n$ is the number of the vertices of the.graph. this significantly improves the previous deterministic algorithm by.cabello and jej\v{c}i\v{c} [cgta'15] which uses $o(n^{1+\delta})$ time and.$o(n^{1+\delta})$ space (for any small constant $\delta>0$) and the previous.randomized algorithm by kaplan et al. [soda'17] which uses $o(n \log^{12+o(1)}.n)$ expected time and $o(n \log^3 n)$ space. more specifically, we show that if.the 2d offline insertion-only (additively-)weighted nearest-neighbor problem.with $k$ operations (i.e., insertions and queries) can be solved in $f(k)$.time, then the sssp problem in weighted unit-disk graphs can be solved in $o(n.\log n+f(n))$ time. using the same framework with some new ideas, we also.obtain a $(1+\varepsilon)$-approximate algorithm for the problem, using $o(n.\log n + n \log^2(1/\varepsilon))$ time and linear space. this improves the.previous $(1+\varepsilon)$-approximate algorithm by chan and skrepetos.[socg'18] which uses $o((1/\varepsilon)^2 n \log n)$ time and.$o((1/\varepsilon)^2 n)$ space. more specifically, we show that if the 2d.offline insertion-only weighted nearest-neighbor problem with $k_1$ operations.in which at most $k_2$ operations are insertions can be solved in $f(k_1,k_2)$.time, then the $(1+\varepsilon)$-approximate sssp problem in weighted unit-disk.graphs can be solved in $o(n \log n+f(n,o(\varepsilon^{-2})))$ time. because of.the $\omega(n \log n)$-time lower bound of the problem (even when approximation.is allowed), both of our algorithms are almost optimal.","['haitao wang', 'jie xue']",near-optimal algorithms for shortest paths in weighted unit-disk graphs,http://arxiv.org/abs/1903.05255v1,2019
"this ph.d. thesis contains original contributions to several areas within the.disciplines of disordered systems, numerical linear algebra, and scientific.computing: (1) theoretical and numerical study of the errors caused by using.certain o(n) algorithms for evaluating matrix functions. (2) numerical results.on the localization of matrix functions, and on the length scales of.eigenfunctions. (3) a simple model which generalizes berry's model of.wavefunctions in chaotic systems to include both localization and.multifractality. (4) a proposal of a new sigma model for disordered systems.which does not involve graded matrixes but should reproduce the same results as.the supersymmetric sigma model. a detailed derivation of the new sigma model is.provided. (5) proposals for many new o(n) algorithms, and for many o(n log n).algorithms suitable to systems with many length scales. (6) a review of the.problems which computing can cause for the physics community, and of the.physics community's current efforts to handle those problems. following this.review is a set of recommendations for better managing these problems.",['vincent e. sacksteder iv'],linear algebra with disordered sparse matrices that have spatial.  structure: theory and computation,http://arxiv.org/abs/cond-mat/0411386v1,2004
"we estimate character sums with n!, on average, and individually. these.bounds are used to derive new results about various congruences modulo a prime.p and obtain new information about the spacings between quadratic nonresidues.modulo p. in particular, we show that there exists a positive integer $n\ll.p^{1/2+\epsilon}, such that n! is a primitive root modulo p. we also show that.every nonzero congruence class a \not \equiv 0 \pmod p can be represented as a.product of 7 factorials, a \equiv n_1! ... n_7! \pmod p, where $\max \{n_i |.i=1,... 7\}=o(p^{11/12+\epsilon}), and we find the asymptotic formula for the.number of such representations. finally, we show that products of 4 factorials.$n_1!n_2!n_3!n_4!, with \max\{n_1, n_2, n_3, n_4\}=o(p^{6/7+\epsilon})$.represent ``almost all''residue classes modulo p, and that products of 3.factorials n_1!n_2!n_3! with \max\{n_1, n_2, n_3\}=o(p^{5/6+\epsilon})$ are.uniformly distributed modulo p.","['moubariz z. garaev', 'florian luca', 'igor e. shparlinski']",character sums and congruences with n!,http://arxiv.org/abs/math/0403422v1,2004
"for $\xi \in \big(0, {1/2} \big)$, we denote by $e_{\xi}$ the perfect.symmetric set associated to $\xi$, that is $$ e_{\xi} = \big\{\exp \big(2i \pi.(1-\xi) \dsp \sum_{n = 1}^{+\infty} \epsilon_{n} \xi^{n-1} \big) : \epsilon_{n}.= 0 \textrm{or} 1 \quad (n \geq 1) \big\}. $$ let $s$ be a nonnegative real.number, and $t$ be an invertible bounded operator on a banach space with.spectrum included in $e_{\xi}$. we show that if \begin{eqnarray*} & & \big\|.t^{n} \big\| = o \big(n^{s} \big), n \to +\infty & \textrm{and} & \big\| t^{-n}.\big\| = o \big(e^{n^{\beta}} \big), n \to +\infty \textrm{for some} \beta <.\frac{\log{\frac{1}{\xi}} - \log{2}}{2\log{\frac{1}{\xi}} - \log{2}},.\end{eqnarray*} then for every $\e > 0$, $t$ satisfies the stronger property $$.\big\| t^{-n} \big\| = o \big(n^{s+{1/2}+\e} \big), n \to +\infty. $$ this.result is a particular case of a more general result concerning operators with.spectrum satisfying some geometrical conditions.",['cyril agrafeuil'],on the growth of powers of operators with spectrum contained in cantor.  sets,http://arxiv.org/abs/math/0601609v1,2006
"in [1], a new construction called red-black hierarchy characterizing laman.graphs and an algorithm for computing it were presented. for a laman graph.g=(v,e) with n vertices it runs in o(n^2) time assuming that a partition of.(v,e+e) into two spanning trees is given. we show that a simple modification.reduces the running time to o(n\log n). the total running time can be reduced.o(n\sqrt{n\log n}) using the algorithm by gabow and westermann [2] for.partitioning a graph into two forests. the existence of a red-black hierarchy.is a necessary and sufficient condition for a graph to be a laman graph. the.algorithm for constructing a red-black hierarchy can be then modified to.recognize laman graphs in the same time.",['sergey bereg'],faster algorithms for rigidity in the plane,http://arxiv.org/abs/0711.2835v2,2008
"we investigate the quintom model of dark energy in the generalized case where.the corresponding canonical and phantom fields possess o($n$) symmetries..assuming exponential potentials we find that this o$(n)$ quintom paradigm.exhibits novel properties comparing to the simple canonical and phantom.scenarios. in particular, we find that the universe cannot result in a.quintessence-type solution with $w>-1$, even in the cases where the phantom.field seems to be irrelevant. on the contrary, there are always late-time.attractors which correspond to accelerating universes with $w<-1$ and with a.recent crossing of the phantom divide, and for a very large area of the.parameter space they are the only ones. this is in contrast with the previous.simple-quintom results, where an accelerating universe is a possible late-time.stable solution but it is not guaranteed.","['m. r. setare', 'e. n. saridakis']",quintom model with o($n$) symmetry,http://arxiv.org/abs/0809.0114v1,2008
"a lattice model of critical dense polymers $o(0)$ is considered for the.finite cylinder geometry. due to the presence of non-contractible loops with a.fixed fugacity $\xi$, the model is a generalization of the critical dense.polymers solved by pearce, rasmussen and villani. we found the free energy for.any height $n$ and circumference $l$ of the cylinder. the density $\rho$ of.non-contractible loops is found for $n \rightarrow \infty$ and large $l$. the.results are compared with those obtained for the anisotropic quantum chain with.twisted boundary conditions. using the latter method we obtained $\rho$ for any.$o(n)$ model and an arbitrary fugacity.","['f. c. alcaraz', 'j. g. brankov', 'v. b. priezzhev', 'v. rittenberg', 'a. m. rogozhnikov']",non-contractible loops in the dense o(n) loop model on the cylinder,http://arxiv.org/abs/1409.7848v2,2015
